job_key,snapshot_date_key,country_key,role_key,search_term,query_page,query_result_position,estimated_job_count
de-5858241220,20260903,de,DA,data analyst,2,81,306
de-5858241222,20260903,de,DA,data analyst,2,78,306
de-5858241224,20260903,de,DA,data analyst,2,85,306
de-5858241225,20260903,de,DA,data analyst,2,82,306
de-5858241230,20260903,de,DA,data analyst,2,75,306
de-5858241232,20260903,de,DA,data analyst,2,77,306
de-5858241233,20260903,de,DA,data analyst,2,80,306
de-5858241234,20260903,de,DA,data analyst,2,66,306
de-5858241235,20260903,de,DA,data analyst,2,71,306
de-5858241236,20260903,de,DA,data analyst,2,69,306
de-5858241237,20260903,de,DA,data analyst,2,67,306
de-5858241238,20260903,de,DA,data analyst,2,73,306
de-5858241239,20260903,de,DA,data analyst,2,65,306
de-5858241240,20260903,de,DA,data analyst,2,72,306
de-5858241241,20260903,de,DA,data analyst,2,74,306
de-5858241243,20260903,de,DA,data analyst,2,70,306
de-5858241244,20260903,de,DA,data analyst,2,68,306
de-5858241247,20260903,de,DA,data analyst,2,64,306
de-5858242933,20260903,de,BI,business intelligence analyst,1,5,14
de-5858265769,20260903,de,DA,data analyst,2,63,306
de-5858329815,20260903,de,DA,data analyst,2,62,306
de-5858487962,20260903,de,DA,datenanalyst,1,5,25
de-5858502266,20260903,de,DA,data analyst,2,61,306
de-5858502452,20260903,de,DA,data analyst,2,60,306
de-5858506058,20260903,de,DA,datenanalyst,1,4,25
de-5858512268,20260903,de,DA,data analyst,2,59,306
de-5858577600,20260903,de,BI,business intelligence analyst,1,4,14
de-5858577600,20260903,de,DA,data analyst,2,58,306
de-5858661082,20260903,de,DA,data analyst,2,57,306
de-5858728979,20260903,de,DA,data analyst,2,56,306
de-5858838387,20260903,de,DA,data analyst,2,55,306
de-5858907192,20260903,de,BI,business intelligence analyst,1,3,14
de-5858907192,20260903,de,DA,data analyst,2,54,306
de-5859039489,20260903,de,BA,business analyst,5,250,873
de-5859053777,20260903,de,BA,business analyst,5,249,873
de-5859080940,20260903,de,BA,business analyst,5,248,873
de-5859138443,20260903,de,BA,business analyst,5,247,873
de-5859138453,20260903,de,DA,data analyst,2,53,306
de-5859138618,20260903,de,DA,data analyst,2,52,306
